DeckId;DeckName;DeckNameWithoutSpaces;NameCard;Version;Column1
RC04;Rarity Collection Quarter Century Edition;Rarity-Collection-Quarter-Century-Edition;Dogmatika Ecclesia, the Virtuous (V.3 - Collectors Rare);3;Collectors Rare
ROTD-JP;Rise of the Duelist (OCG);Rise-of-the-Duelist-(OCG);Dogmatika Ecclesia, the Virtuous (V.3 - Starlight Rare);3;Starlight Rare
RC04;Rarity Collection Quarter Century Edition;Rarity-Collection-Quarter-Century-Edition;Dogmatika Ecclesia, the Virtuous (V.4 - Ultimate Rare);4;Ultimate Rare
RC04;Rarity Collection Quarter Century Edition;Rarity-Collection-Quarter-Century-Edition;Dogmatika Ecclesia, the Virtuous (V.5 - Extra Secret Rare);5;Extra Secret Rare
RC04;Rarity Collection Quarter Century Edition;Rarity-Collection-Quarter-Century-Edition;Dogmatika Ecclesia, the Virtuous (V.6 - Special);6;Special
MP21;2021 Tin of Ancient Battles;2021-Tin-of-Ancient-Battles;Dogmatika Encounter;0;
ROTD;Rise of the Duelist;Rise-of-the-Duelist;Dogmatika Encounter;0;
ROTD-JP;Rise of the Duelist (OCG);Rise-of-the-Duelist-(OCG);Dogmatika Encounter;0;
MP21;2021 Tin of Ancient Battles;2021-Tin-of-Ancient-Battles;Dogmatika Fleurdelis, the Knighted;0;
ROTD;Rise of the Duelist;Rise-of-the-Duelist;Dogmatika Fleurdelis, the Knighted;0;
SD43;Structure Deck: Alba Strike (OCG);Structure-Deck:-Alba-Strike-(OCG);Dogmatika Fleurdelis, the Knighted;0;
SDAZ;Structure Deck: Albaz Strike;Structure-Deck:-Albaz-Strike;Dogmatika Fleurdelis, the Knighted;0;
ROTD-JP;Rise of the Duelist (OCG);Rise-of-the-Duelist-(OCG);Dogmatika Fleurdelis, the Knighted (V.1 - Ultra Rare);1;Ultra Rare
ROTD-JP;Rise of the Duelist (OCG);Rise-of-the-Duelist-(OCG);Dogmatika Fleurdelis, the Knighted (V.2 - Secret Rare);2;Secret Rare
ROTD-JP;Rise of the Duelist (OCG);Rise-of-the-Duelist-(OCG);Dogmatika Fleurdelis, the Knighted (V.3 - Ultimate Rare);3;Ultimate Rare
BLVO;Blazing Vortex;Blazing-Vortex;Dogmatika Genesis;0;
MP22;2022 Tin of the Pharaoh's Gods;2022-Tin-of-the-Pharaoh's-Gods;Dogmatika Genesis;0;
MP21;2021 Tin of Ancient Battles;2021-Tin-of-Ancient-Battles;Dogmatika Maximus;0;
ROTD;Rise of the Duelist;Rise-of-the-Duelist;Dogmatika Maximus;0;
ROTD-JP;Rise of the Duelist (OCG);Rise-of-the-Duelist-(OCG);Dogmatika Maximus;0;
MP21;2021 Tin of Ancient Battles;2021-Tin-of-Ancient-Battles;Dogmatika Nation;0;
ROTD;Rise of the Duelist;Rise-of-the-Duelist;Dogmatika Nation;0;
MP21;2021 Tin of Ancient Battles;2021-Tin-of-Ancient-Battles;Dogmatika Nexus;0;
ROTD;Rise of the Duelist;Rise-of-the-Duelist;Dogmatika Nexus;0;
MP21;2021 Tin of Ancient Battles;2021-Tin-of-Ancient-Battles;Dogmatika Punishment;0;
OP15;OTS Tournament Pack 15;OTS-Tournament-Pack-15;Dogmatika Punishment;0;
ROTD;Rise of the Duelist;Rise-of-the-Duelist;Dogmatika Punishment;0;
ROTD-JP;Rise of the Duelist (OCG);Rise-of-the-Duelist-(OCG);Dogmatika Punishment;0;
MP21;2021 Tin of Ancient Battles;2021-Tin-of-Ancient-Battles;Dogmatika Theo, the Iron Punch;0;
ROTD;Rise of the Duelist;Rise-of-the-Duelist;Dogmatika Theo, the Iron Punch;0;
MP21;2021 Tin of Ancient Battles;2021-Tin-of-Ancient-Battles;Dogmatikacism;0;
PHRA;Phantom Rage;Phantom-Rage;Dogmatikacism;0;
PHRA-JP;Phantom Rage (OCG);Phantom-Rage-(OCG);Dogmatikacism;0;
LIOV;Lightning Overdrive;Lightning-Overdrive;Dogmatikalamity;0;
BACH;Battle of Chaos;Battle-of-Chaos;Dogmatikamacabre;0;
PHHY;Photon Hypernova;Photon-Hypernova;Dogmatikamatrix;0;
PHHY-JP;Photon Hypernova (OCG);Photon-Hypernova-(OCG);Dogmatikamatrix;0;
DIFO;Dimension Force;Dimension-Force;Dogmatikaturgy;0;
DIFO-JP;Dimension Force (OCG);Dimension-Force-(OCG);Dogmatikaturgy;0;
CORE;Clash of Rebellions;Clash-of-Rebellions;Dogoran, the Mad Flame Kaiju;0;
MP16;2016 Mega-Tin Mega Pack;2016-Mega-Tin-Mega-Pack;Dogoran, the Mad Flame Kaiju;0;
OP05;OTS Tournament Pack 5;OTS-Tournament-Pack-5;Dogoran, the Mad Flame Kaiju;0;
SDSB;Structure Deck: Soulburner;Structure-Deck:-Soulburner;Dogoran, the Mad Flame Kaiju;0;
SGX2;Speed Duel GX: Midterm Paradox;Speed-Duel-GX:-Midterm-Paradox;Dogoran, the Mad Flame Kaiju (V.1 - Common);1;Common
SGX2;Speed Duel GX: Midterm Paradox;Speed-Duel-GX:-Midterm-Paradox;Dogoran, the Mad Flame Kaiju (V.2 - Secret Rare);2;Secret Rare
DUEA;Duelist Alliance;Duelist-Alliance;Dogu;0;
CRV;Cybernetic Revolution;Cybernetic-Revolution;Doitsu;0;
INOV;Invasion: Vengeance;Invasion:-Vengeance;Doki Doki;0;
MP17;2017 Mega-Tin Mega Pack;2017-Mega-Tin-Mega-Pack;Doki Doki;0;
SESL;Secret Slayers;Secret-Slayers;Doki Doki;0;
SBCB;Speed Duel: Battle City Box;Speed-Duel:-Battle-City-Box;Dokurorider;0;
SDP-F;Pharaoh's Servant (SDP);Pharaoh's-Servant-(SDP);Dokuroyaiba;0;
SS05;Speed Duel Starter Decks: Twisted Nightmares;Speed-Duel-Starter-Decks:-Twisted-Nightmares;Dokuroyaiba;0;
PSV;Pharaoh's Servant;Pharaoh's-Servant;Dokuroyaiba (V.1 - Common);1;Common
PSV;Pharaoh's Servant;Pharaoh's-Servant;Dokuroyaiba (V.2 - Common);2;Common
BACH;Battle of Chaos;Battle-of-Chaos;Doll Happiness;0;
BROL;Brothers of Legend;Brothers-of-Legend;Doll House;0;
BACH;Battle of Chaos;Battle-of-Chaos;Doll Monster Bear-Bear;0;
BACH;Battle of Chaos;Battle-of-Chaos;Doll Monster Miss Mädchen;0;
MIY;Starter Deck: Yugi (MIY);Starter-Deck:-Yugi-(MIY);Doma The Angel of Silence;0;
PMT;Metal Raiders (PMT);Metal-Raiders-(PMT);Doma The Angel of Silence;0;
DDY;Starter Deck: Yugi (DDY);Starter-Deck:-Yugi-(DDY);Doma The Angel of Silence (V.1 - Common);1;Common
MRD;Metal Raiders;Metal-Raiders;Doma The Angel of Silence (V.1 - Common);1;Common
SDY;Starter Deck: Yugi;Starter-Deck:-Yugi;Doma The Angel of Silence (V.1 - Common);1;Common
MRD;Metal Raiders;Metal-Raiders;Doma The Angel of Silence (V.2 - Common);2;Common
SDY;Starter Deck: Yugi;Starter-Deck:-Yugi;Doma The Angel of Silence (V.2 - Common);2;Common
GFP2;Ghosts From the Past: The 2nd Haunting;Ghosts-From-the-Past:-The-2nd-Haunting;Domain of the True Monarchs;0;
MAGO;Maximum Gold;Maximum-Gold;Domain of the True Monarchs;0;
OP03;OTS Tournament Pack 3;OTS-Tournament-Pack-3;Domain of the True Monarchs;0;
SR01;Structure Deck: Emperor of Darkness;Structure-Deck:-Emperor-of-Darkness;Domain of the True Monarchs;0;
DP08;Duelist Pack: Yusei Fudo;Duelist-Pack:-Yusei-Fudo;Domino Effect;0;
TDGS;The Duelist Genesis;The-Duelist-Genesis;Domino Effect;0;
PRIO;Primal Origin;Primal-Origin;Don Thousand's Throne;0;
DR2;Dark Revelation 2;Dark-Revelation-2;Don Turtle;0;
IOC;Invasion of Chaos;Invasion-of-Chaos;Don Turtle (V.1 - Common);1;Common
DB2;Dark Beginning 2;Dark-Beginning-2;Don Zaloog;0;
GLD1;Gold Series 1;Gold-Series-1;Don Zaloog;0;
GLD5;Gold Series 5: Haunted Mine;Gold-Series-5:-Haunted-Mine;Don Zaloog;0;
LART;Lost Art Promos;Lost-Art-Promos;Don Zaloog;0;
PGD;Pharaonic Guardian;Pharaonic-Guardian;Don Zaloog;0;
RP02;Retro Pack 2;Retro-Pack-2;Don Zaloog;0;
SBTK;Speed Duel: Trials of the Kingdom;Speed-Duel:-Trials-of-the-Kingdom;Don Zaloog;0;
SGX1;Speed Duel GX: Duel Academy Box;Speed-Duel-GX:-Duel-Academy-Box;Don Zaloog (V.1 - Common);1;Common
SGX1;Speed Duel GX: Duel Academy Box;Speed-Duel-GX:-Duel-Academy-Box;Don Zaloog (V.2 - Secret Rare);2;Secret Rare
DABL;Darkwing Blast;Darkwing-Blast;Donner, Dagger Fur Hire;0;
DASA;Dark Saviors;Dark-Saviors;Donpa, Marksman Fur Hire;0;
MP19;2019 Gold Sarcophagus Tin Mega Pack;2019-Gold-Sarcophagus-Tin-Mega-Pack;Donpa, Marksman Fur Hire;0;
DBDS;Deck Build Pack: Dark Savers;Deck-Build-Pack:-Dark-Savers;Donpa, Marksman Fur Hire (V.2 - Parallel Rare);2;Parallel Rare
IGAS;Ignition Assault;Ignition-Assault;Donyoribo @Ignister;0;
BLCR;Battles of Legend: Crystal Revenge;Battles-of-Legend:-Crystal-Revenge;Doodle Beast - Stego;0;
BLCR;Battles of Legend: Crystal Revenge;Battles-of-Legend:-Crystal-Revenge;Doodle Beast - Tyranno;0;
AC02;Animation Chronicle 2022;Animation-Chronicle-2022;Doodle Beast - Tyranno (V.2 - Collectors Rare);2;Collectores Rare
BLCR;Battles of Legend: Crystal Revenge;Battles-of-Legend:-Crystal-Revenge;Doodlebook - Uh uh uh!;0;
GAOV;Galactic Overlord;Galactic-Overlord;Doom Donuts;0;
GLD1;Gold Series 1;Gold-Series-1;Doom Dozer;0;
MAMA;Magnificent Mavens;Magnificent-Mavens;Doom Dozer;0;
SOI;Shadow of Infinity;Shadow-of-Infinity;Doom Dozer (V.1 - Rare);1;Rare
SOI;Shadow of Infinity;Shadow-of-Infinity;Doom Dozer (V.2 - Ultimate Rare);2;Ultimate Rare
LED9;Legendary Duelists: Duels From the Deep;Legendary-Duelists:-Duels-From-the-Deep;Doom Kraken;0;
CP07;Champion Pack: Game Seven;Champion-Pack:-Game-Seven;Doom Shaman;0;
OP03;OTS Tournament Pack 3;OTS-Tournament-Pack-3;Doom Shaman;0;
TAEV;Tactical Evolution;Tactical-Evolution;Doom Shaman (V.1 - Super Rare);1;Super Rare
TAEV;Tactical Evolution;Tactical-Evolution;Doom Shaman (V.2 - Ultimate Rare);2;Ultimate Rare
DRL3;Dragons of Legend: Unleashed;Dragons-of-Legend:-Unleashed;Doom Virus Dragon;0;
LCKC;Legendary Collection Kaiba Mega Pack;Legendary-Collection-Kaiba-Mega-Pack;Doom Virus Dragon;0;
LEDD;Legendary Dragon Decks;Legendary-Dragon-Decks;Doom Virus Dragon;0;
DLCS;Dragons of Legend: The Complete Series;Dragons-of-Legend:-The-Complete-Series;Doom Virus Dragon (V.1 - Ultra Rare);1;Ultra Rare
DLCS;Dragons of Legend: The Complete Series;Dragons-of-Legend:-The-Complete-Series;Doom Virus Dragon (V.2 - Ultra Rare);2;Ultra Rare
DLCS;Dragons of Legend: The Complete Series;Dragons-of-Legend:-The-Complete-Series;Doom Virus Dragon (V.3 - Ultra Rare);3;Ultra Rare
DLCS;Dragons of Legend: The Complete Series;Dragons-of-Legend:-The-Complete-Series;Doom Virus Dragon (V.4 - Ultra Rare);4;Ultra Rare
DAMA;Dawn of Majesty;Dawn-of-Majesty;Doombearer Psychopompos;0;
DP22;Duelist Pack: Legend Duelist 5;Duelist-Pack:-Legend-Duelist-5;Doomcaliber Knight;0;
DUSA;Duelist Saga;Duelist-Saga;Doomcaliber Knight;0;
GLD4;Gold Series 4: Pyramids Edition;Gold-Series-4:-Pyramids-Edition;Doomcaliber Knight;0;
LDS3;Legendary Duelists: Season 3;Legendary-Duelists:-Season-3;Doomcaliber Knight;0;
LED5;Legendary Duelists: Immortal Destiny;Legendary-Duelists:-Immortal-Destiny;Doomcaliber Knight;0;
PGL2;Premium Gold 2;Premium-Gold-2;Doomcaliber Knight;0;
TU01;Turbo Pack;Turbo-Pack;Doomcaliber Knight;0;
BP01;Battle Pack: Epic Dawn;Battle-Pack:-Epic-Dawn;Doomcaliber Knight (V.1 - Common);1;Common
BP02;Battle Pack 2: War of the Giants;Battle-Pack-2:-War-of-the-Giants;Doomcaliber Knight (V.1 - Common);1;Common
BP01;Battle Pack: Epic Dawn;Battle-Pack:-Epic-Dawn;Doomcaliber Knight (V.2 - Starfoil Rare);2;Starfoil Rare
CROS;Crossed Souls;Crossed-Souls;Doomdog Octhros;0;
MP16;2016 Mega-Tin Mega Pack;2016-Mega-Tin-Mega-Pack;Doomdog Octhros;0;
BLCR;Battles of Legend: Crystal Revenge;Battles-of-Legend:-Crystal-Revenge;Doomkaiser Dragon;0;
OP10;OTS Tournament Pack 10;OTS-Tournament-Pack-10;Doomkaiser Dragon;0;
CSOC;Crossroads of Chaos;Crossroads-of-Chaos;Doomkaiser Dragon (V.1 - Ultra Rare);1;Ultra Rare
CSOC;Crossroads of Chaos;Crossroads-of-Chaos;Doomkaiser Dragon (V.2 - Ultimate Rare);2;Ultimate Rare
CRMS;Crimson Crisis;Crimson-Crisis;Doomkaiser Dragon/Assault Mode (V.1 - Ultra Rare);1;Ultra Rare
CRMS;Crimson Crisis;Crimson-Crisis;Doomkaiser Dragon/Assault Mode (V.2 - Ultimate Rare);2;Ultimate Rare
GFP2;Ghosts From the Past: The 2nd Haunting;Ghosts-From-the-Past:-The-2nd-Haunting;Doomking Balerdroch;0;
SR07;Structure Deck: Zombie Horde;Structure-Deck:-Zombie-Horde;Doomking Balerdroch;0;
SSB1;Secret Shiny Box;Secret-Shiny-Box;Doomking Balerdroch;0;
DESO;Destiny Soldiers;Destiny-Soldiers;Doomsday Horror;0;
PTDN;Phantom Darkness;Phantom-Darkness;Doomsday Horror;0;
DEM3;Demo Deck 2016;Demo-Deck-2016;Doomstar Magician;0;
DUEA;Duelist Alliance;Duelist-Alliance;Doomstar Magician;0;
MP15;2015 Mega-Tin Mega Pack;2015-Mega-Tin-Mega-Pack;Doomstar Magician;0;
PEVO;Pendulum Evolution;Pendulum-Evolution;Doomstar Magician;0;
CSOC;Crossroads of Chaos;Crossroads-of-Chaos;Doppelganger;0;
GFP2;Ghosts From the Past: The 2nd Haunting;Ghosts-From-the-Past:-The-2nd-Haunting;Doppelwarrior;0;
LC5D;Legendary Collection 5D's: Mega Pack;Legendary-Collection-5D's:-Mega-Pack;Doppelwarrior;0;
LED6;Legendary Duelists: Magical Hero;Legendary-Duelists:-Magical-Hero;Doppelwarrior;0;
SDSE;Structure Deck: Synchron Extreme;Structure-Deck:-Synchron-Extreme;Doppelwarrior;0;
STOR;Storm of Ragnarok;Storm-of-Ragnarok;Doppelwarrior;0;
AST;Ancient Sanctuary;Ancient-Sanctuary;Dora of Fate;0;
DR2;Dark Revelation 2;Dark-Revelation-2;Dora of Fate;0;
DR3;Dark Revelation 3;Dark-Revelation-3;Doriado's Blessing;0;
TLM;The Lost Millennium;The-Lost-Millennium;Doriado's Blessing;0;
IGAS;Ignition Assault;Ignition-Assault;Doshin @Ignister;0;
ANGU;Ancient Guardians;Ancient-Guardians;DoSolfachord Coolia (V.1 - Ultra Rare);1;Ultra Rare
DBAG;Deck Build Pack: Ancient Guardians;Deck-Build-Pack:-Ancient-Guardians;DoSolfachord Coolia (V.1 - Ultra Rare);1;Ultra Rare
ANGU;Ancient Guardians;Ancient-Guardians;DoSolfachord Coolia (V.2 - Collectors Rare);2;Collectors Rare
DBAG;Deck Build Pack: Ancient Guardians;Deck-Build-Pack:-Ancient-Guardians;DoSolfachord Coolia (V.2 - Secret Rare);2;Secret Rare
ANGU;Ancient Guardians;Ancient-Guardians;DoSolfachord Cutia;0;
LTGY;Lord of the Tachyon Galaxy;Lord-of-the-Tachyon-Galaxy;Dotedotengu;0;
GFP2;Ghosts From the Past: The 2nd Haunting;Ghosts-From-the-Past:-The-2nd-Haunting;Dotscaper;0;
SDCL;Structure Deck: Cyberse Link;Structure-Deck:-Cyberse-Link;Dotscaper;0;
SP18;Star Pack VRAINS;Star-Pack-VRAINS;Dotscaper (V.1 - Common);1;Common
SP18;Star Pack VRAINS;Star-Pack-VRAINS;Dotscaper (V.2 - Starfoil Rare);2;Starfoil Rare
DR3;Dark Revelation 3;Dark-Revelation-3;Double Attack;0;
TLM;The Lost Millennium;The-Lost-Millennium;Double Attack;0;
MAZE;Maze of Memories;Maze-of-Memories;Double Attack! Wind and Thunder!!;0;
DPDG;Duelist Pack: Dimensional Guardians;Duelist-Pack:-Dimensional-Guardians;Double Cipher;0;
INOV;Invasion: Vengeance;Invasion:-Vengeance;Double Cipher;0;
MP17;2017 Mega-Tin Mega Pack;2017-Mega-Tin-Mega-Pack;Double Cipher;0;
AST;Ancient Sanctuary;Ancient-Sanctuary;Double Coston;0;
CP05;Champion Pack: Game Five;Champion-Pack:-Game-Five;Double Coston;0;
DR2;Dark Revelation 2;Dark-Revelation-2;Double Coston;0;
GLD5;Gold Series 5: Haunted Mine;Gold-Series-5:-Haunted-Mine;Double Coston;0;
SD2;Structure Deck: Zombie Madness;Structure-Deck:-Zombie-Madness;Double Coston;0;
SS01;Speed Duel Starter Decks: Destiny Masters;Speed-Duel-Starter-Decks:-Destiny-Masters;Double Coston;0;
YSYR;Starter Deck: Yugi Reloaded;Starter-Deck:-Yugi-Reloaded;Double Coston;0;
DP10;Duelist Pack: Yusei Fudo 3;Duelist-Pack:-Yusei-Fudo-3;Double Cyclone;0;
DREV;Duelist Revolution;Duelist-Revolution;Double Cyclone;0;
SBTK;Speed Duel: Trials of the Kingdom;Speed-Duel:-Trials-of-the-Kingdom;Double Cyclone;0;
SDSE;Structure Deck: Synchron Extreme;Structure-Deck:-Synchron-Extreme;Double Cyclone;0;
SGX1;Speed Duel GX: Duel Academy Box;Speed-Duel-GX:-Duel-Academy-Box;Double Cyclone;0;
ORCS;Order of Chaos;Order-of-Chaos;Double Defender;0;
BODE;Burst of Destiny;Burst-of-Destiny;Double Disruptor Dragon;0;
MP15;2015 Mega-Tin Mega Pack;2015-Mega-Tin-Mega-Pack;Double Dragon Descent;0;
PRIO;Primal Origin;Primal-Origin;Double Dragon Descent;0;
TKN3;Token Promos 3;Token-Promos-3;Double Dude Token;0;
POTE;Power of the Elements;Power-of-the-Elements;Double Dust Tornado Twins;0;
BLLR;Battles of Legend: Light's Revenge;Battles-of-Legend:-Light's-Revenge;Double Evolution Pill;0;
DUOV;Duel Overload;Duel-Overload;Double Evolution Pill;0;
SBSC;Speed Duel: Scars of Battle;Speed-Duel:-Scars-of-Battle;Double Evolution Pill (Skill);0;
BROL;Brothers of Legend;Brothers-of-Legend;Double Exposure;0;
DUSA;Duelist Saga;Duelist-Saga;Double Fin Shark;0;
LED9;Legendary Duelists: Duels From the Deep;Legendary-Duelists:-Duels-From-the-Deep;Double Fin Shark;0;
BLHR;Battles of Legend: Hero's Revenge;Battles-of-Legend:-Hero's-Revenge;Double Headed Anger Knuckle;0;
SLF1;Selection 5;Selection-5;Double Headed Anger Knuckle (V.2 - Super Rare);2;Super Rare
DUPO;Duel Power;Duel-Power;Double Hero Attack;0;
PEVO;Pendulum Evolution;Pendulum-Evolution;Double Iris Magician;0;
DLCS;Dragons of Legend: The Complete Series;Dragons-of-Legend:-The-Complete-Series;Double Magical Arm Bind;0;
DRL2;Dragons of Legend 2;Dragons-of-Legend-2;Double Magical Arm Bind;0;
20TH-JPB;20th Anniversary Duelist Box;20th-Anniversary-Duelist-Box;Double or Nothing!;0;
DUPO;Duel Power;Duel-Power;Double or Nothing!;0;
GENF;Generation Force;Generation-Force;Double or Nothing!;0;
YS13;Super Starter: V for Victory;Super-Starter:-V-for-Victory;Double or Nothing!;0;
MACR;Maximum Crisis;Maximum-Crisis;Double Resonator;0;
MP18;2018 Mega-Tin Mega Pack;2018-Mega-Tin-Mega-Pack;Double Resonator;0;
CBLZ;Cosmo Blazer;Cosmo-Blazer;Double Shark;0;
DB2;Dark Beginning 2;Dark-Beginning-2;Double Snare;0;
LOD;Legacy of Darkness;Legacy-of-Darkness;Double Snare (V.1 - Common);1;Common
DR1;Dark Revelation 1;Dark-Revelation-1;Double Spell;0;
LCYW;Legendary Collection 3: Mega Pack;Legendary-Collection-3:-Mega-Pack;Double Spell;0;
MFC;Magician's Force;Magician's-Force;Double Spell;0;
YGLD;Yugi's Legendary Decks;Yugi's-Legendary-Decks;Double Spell;0;
5DS1;Starter Deck: Yu-Gi-Oh! 5D's;Starter-Deck:-Yu-Gi-Oh!-5D's;Double Summon;0;
DT06;Duel Terminal 6;Duel-Terminal-6;Double Summon;0;
EGO1;Egyptian God Deck: Obelisk the Tormentor;Egyptian-God-Deck:-Obelisk-the-Tormentor;Double Summon;0;
LCKC;Legendary Collection Kaiba Mega Pack;Legendary-Collection-Kaiba-Mega-Pack;Double Summon;0;
SDGR;Structure Deck: Geargia Rampage;Structure-Deck:-Geargia-Rampage;Double Summon;0;
SDWS;Structure Deck: Warrior's Strike;Structure-Deck:-Warrior's-Strike;Double Summon;0;
SGX2;Speed Duel GX: Midterm Paradox;Speed-Duel-GX:-Midterm-Paradox;Double Summon;0;
TAEV;Tactical Evolution;Tactical-Evolution;Double Summon;0;
WGRT;War of the Giants Reinforcements;War-of-the-Giants-Reinforcements;Double Summon;0;
PTDN;Phantom Darkness;Phantom-Darkness;Double Tag Team;0;
RGBT;Raging Battle;Raging-Battle;Double Tool C&D;0;
SECE;Secrets of Eternity;Secrets-of-Eternity;Double Trap Hole;0;
DUPO;Duel Power;Duel-Power;Doublebyte Dragon;0;
LVB1;LINK VRAINS Box;LINK-VRAINS-Box;Doublebyte Dragon;0;
AMDE;Amazing Defenders;Amazing-Defenders;Double-Edged Sword;0;
IGAS;Ignition Assault;Ignition-Assault;Double-Edged Sword;0;
GLAS;Gladiator's Assault;Gladiator's-Assault;Double-Edged Sword Technique;0;
GLD2;Gold Series 2;Gold-Series-2;Double-Edged Sword Technique;0;
LCGX;Legendary Collection 2: Mega Pack;Legendary-Collection-2:-Mega-Pack;Double-Edged Sword Technique;0;
RYMP;Ra Yellow Mega Pack;Ra-Yellow-Mega-Pack;Double-Edged Sword Technique;0;
SDWA;Structure Deck: Samurai Warlords;Structure-Deck:-Samurai-Warlords;Double-Edged Sword Technique;0;
SPWA;Spirit Warriors;Spirit-Warriors;Double-Edged Sword Technique;0;
MYFI;Mystic Fighters;Mystic-Fighters;Dovelgus, Generaider Boss of Iron;0;
EXFO;Extreme Force;Extreme-Force;Downbeat;0;
BROL;Brothers of Legend;Brothers-of-Legend;Downerd Magician;0;
LVAL;Legacy of the Valiant;Legacy-of-the-Valiant;Downerd Magician;0;
MP14;2014 Mega-Tins Mega-Pack;2014-Mega-Tins-Mega-Pack;Downerd Magician;0;
PGL2;Premium Gold 2;Premium-Gold-2;Downerd Magician;0;
KICO;King's Court;King's-Court;Dowsing Fusion;0;
IGAS;Ignition Assault;Ignition-Assault;Doyon @Ignister;0;
MP21;2021 Tin of Ancient Battles;2021-Tin-of-Ancient-Battles;Doyon @Ignister;0;
MP16;2016 Mega-Tin Mega Pack;2016-Mega-Tin-Mega-Pack;Dr. Frankenderp;0;
CHIM;Chaos Impact;Chaos-Impact;Draco Berserker of the Tenyi;0;
MP20;2020 Tin of Lost Memories Mega Pack;2020-Tin-of-Lost-Memories-Mega-Pack;Draco Berserker of the Tenyi;0;
BOSH;Breakers of Shadow;Breakers-of-Shadow;Draco Face-Off;0;
PGL3;Premium Gold: Infinite Gold;Premium-Gold:-Infinite-Gold;Draco Face-Off;0;
CHIM;Chaos Impact;Chaos-Impact;Draco Masters of the Tenyi;0;
MP20;2020 Tin of Lost Memories Mega Pack;2020-Tin-of-Lost-Memories-Mega-Pack;Draco Masters of the Tenyi;0;
GRCR;The Grand Creators;The-Grand-Creators;Dracoback, the Rideable Dragon;0;
MAMA;Magnificent Mavens;Magnificent-Mavens;Dracoback, the Rideable Dragon;0;
YS17;Starter Deck: Link Strike;Starter-Deck:-Link-Strike;Draconnet;0;
MP21;2021 Tin of Ancient Battles;2021-Tin-of-Ancient-Battles;Dracoon Lamp;0;
ROTD;Rise of the Duelist;Rise-of-the-Duelist;Dracoon Lamp;0;
POTE;Power of the Elements;Power-of-the-Elements;Draco-Utopian Aura;0;
SHSP;Shadow Specters;Shadow-Specters;Dragard;0;
DPBC;Duelist Pack: Battle City;Duelist-Pack:-Battle-City;Dragged Down into the Grave;0;
DR1;Dark Revelation 1;Dark-Revelation-1;Dragged Down into the Grave;0;
SR07;Structure Deck: Zombie Horde;Structure-Deck:-Zombie-Horde;Dragged Down into the Grave;0;
SR13;Structure Deck: Dark World;Structure-Deck:-Dark-World;Dragged Down into the Grave;0;
DCR;Dark Crisis;Dark-Crisis;Dragged Down into the Grave (V.1 - Common);1;Common
CROS;Crossed Souls;Crossed-Souls;Draghig, Malebranche of the Burning Abyss;0;
PGL3;Premium Gold: Infinite Gold;Premium-Gold:-Infinite-Gold;Draghig, Malebranche of the Burning Abyss;0;
PGL2;Premium Gold 2;Premium-Gold-2;Dragocytos Corrupted Nethersoul Dragon;0;
TDIL;The Dark Illusion;The-Dark-Illusion;Dragodies, the Empowered Warrior;0;
BLAR;Battles of Legend: Armageddon;Battles-of-Legend:-Armageddon;Dragon Buster Destruction Sword;0;
BOSH;Breakers of Shadow;Breakers-of-Shadow;Dragon Buster Destruction Sword;0;
SS02;Speed Duel Starter Decks: Duelists of Tomorrow;Speed-Duel-Starter-Decks:-Duelists-of-Tomorrow;Dragon Caller (Skill);0;
SDY;Starter Deck: Yugi;Starter-Deck:-Yugi;Dragon Capture Jar (V.2 - Common);2;Common
LOB;Legend of Blue Eyes White Dragon;Legend-of-Blue-Eyes-White-Dragon;Dragon Capture Jar (V.2 - Rare);2;Rare
INOV;Invasion: Vengeance;Invasion:-Vengeance;Dragon Core Hexer;0;
SECE;Secrets of Eternity;Secrets-of-Eternity;Dragon Dowser;0;
DUEA;Duelist Alliance;Duelist-Alliance;Dragon Horn Hunter (V.1 - Super Rare);1;Super Rare
DUEA;Duelist Alliance;Duelist-Alliance;Dragon Horn Hunter (V.2 - Ultra Rare);2;Ultra Rare
BP02;Battle Pack 2: War of the Giants;Battle-Pack-2:-War-of-the-Giants;Dragon Ice (V.1 - Common);1;Common
CT07;Collector's Tins 2010;Collector's-Tins-2010;Dragon Knight Draco-Equiste;0;
DP10;Duelist Pack: Yusei Fudo 3;Duelist-Pack:-Yusei-Fudo-3;Dragon Knight Draco-Equiste;0;
GFTP;Ghosts From the Past;Ghosts-From-the-Past;Dragon Knight Draco-Equiste;0;
DREV;Duelist Revolution;Duelist-Revolution;Dragon Knight Draco-Equiste (V.4 - Ultimate Rare);4;Ultimate Rare
SDRR;Structure Deck: Rokket Revolt;Structure-Deck:-Rokket-Revolt;Dragon Knight of Creation;0;
SR02;Structure Deck: Rise of the True Dragons;Structure-Deck:-Rise-of-the-True-Dragons;Dragon Knight of Creation;0;
TSHD;The Shining Darkness;The-Shining-Darkness;Dragon Laser;0;
SR02;Structure Deck: Rise of the True Dragons;Structure-Deck:-Rise-of-the-True-Dragons;Dragon Lord Token;0;
DPKB;Duelist Pack: Kaiba;Duelist-Pack:-Kaiba;Dragon Master Knight;0;
DPRP;Duelist Pack: Rivals of the Pharaoh;Duelist-Pack:-Rivals-of-the-Pharaoh;Dragon Master Knight;0;
LCKC;Legendary Collection Kaiba Mega Pack;Legendary-Collection-Kaiba-Mega-Pack;Dragon Master Knight;0;
