Deck,Title,LowerPrice,DateTime
BLCR,Dimension Dice,"0,02 €",2023-03-02
TN19,Dimension Shifter,"0,99 €",2023-03-02
ANGU,Dinowrestler Pankratops (V.1 - Rare),"0,02 €",2023-03-02
SDDE,Dimensional Fissure,"0,49 €",2023-03-02
MP17,Dimensional Barrier,"2,85 €",2023-03-02
DUOV,"Dingirsu, the Orcust of the Evening Star","5,20 €",2023-03-02
DIFO,Dinomorphia Rexterm,"0,50 €",2023-03-02
THSF,Djinn Releaser of Rituals,"0,02 €",2023-03-02
SBAD,Djinn Disserere of Rituals,"0,02 €",2023-03-02
DUEA,Djinn Demolisher of Rituals,"0,02 €",2023-03-02
THSF,Djinn Prognosticator of Rituals,"0,02 €",2023-03-02
THSF,Djinn Presider of Rituals,"0,02 €",2023-03-02
THSF,Djinn Cursenchanter of Rituals,"0,02 €",2023-03-02
SOVR,Djinn Releaser of Rituals,"0,02 €",2023-03-02
THSF,Djinn Disserere of Rituals,"0,02 €",2023-03-02
SOVR,Djinn Presider of Rituals,"0,02 €",2023-03-02
ABPF,Djinn Prognosticator of Rituals,"0,02 €",2023-03-02
ABPF,Djinn Cursenchanter of Rituals,"0,02 €",2023-03-02
MP15,Djinn Demolisher of Rituals,"0,02 €",2023-03-02
STP4,Djinn Disserere of Rituals,"0,30 €",2023-03-02
SS04,Djinn Prognosticator of Rituals,"0,02 €",2023-03-02
SS04,Djinn Disserere of Rituals,"0,02 €",2023-03-02
ABPF,Djinn Disserere of Rituals,"0,20 €",2023-03-02
AP07,Djinn Demolisher of Rituals,"0,02 €",2023-03-02
DUEA-JP,Djinn Demolisher of Rituals,"6,00 €",2023-03-02
RIRA,DMZ Dragon,"0,02 €",2023-03-02
RIRA-JP,DMZ Dragon,"0,10 €",2023-03-02
PSV,DNA Surgery (V.2 - Common),"0,29 €",2023-03-02
PSV,DNA Surgery (V.1 - Common),"0,20 €",2023-03-02
DB1,DNA Surgery,"0,29 €",2023-03-02
DR2,DNA Transplant,"0,02 €",2023-03-02
IOC,DNA Transplant (V.1 - Common),"0,02 €",2023-03-02
CSOC,DNA Checkup,"0,02 €",2023-03-02
LCYW,DNA Surgery,"1,50 €",2023-03-02
SDP-F,DNA Surgery,"0,99 €",2023-03-02
LCYW,DNA Transplant,"0,10 €",2023-03-02
SDF,DNA Surgery,"0,80 €",2023-03-02
DL18,DNA Surgery (V.1 - Rare),"2,00 €",2023-03-02
IOC,DNA Transplant (V.2 - Common),"0,06 €",2023-03-02
PSV,DNA Surgery (V.3 - Common),"1,99 €",2023-03-02
DL18,DNA Surgery (V.2 - Rare),"4,00 €",2023-03-02
DL18,DNA Surgery (V.3 - Rare),"2,00 €",2023-03-02
DL18,DNA Surgery (V.4 - Rare),"3,00 €",2023-03-02
PHHY,Dogmatikamatrix,"0,02 €",2023-03-02
PHHY,Dogmatika Alba Zoa,"0,04 €",2023-03-02
DABL,"Donner, Dagger Fur Hire","0,02 €",2023-03-02
LIOV,Dogmatikalamity,"0,02 €",2023-03-02
BACH,Dogmatikamacabre,"0,02 €",2023-03-02
DUOV,Double Evolution Pill,"0,15 €",2023-03-02
BLCR,Doodle Beast - Stego,"0,03 €",2023-03-02
ROTD,Dogmatika Punishment,"0,02 €",2023-03-02
BROL,Downerd Magician,"0,10 €",2023-03-02
BLCR,Doomkaiser Dragon,"0,02 €",2023-03-02
MP21,"Dogmatika Ecclesia, the Virtuous","6,00 €",2023-03-02
BLCR,Doodle Beast - Tyranno,"0,15 €",2023-03-02
MP21,Dogmatika Punishment,"1,40 €",2023-03-02
BLCR,Doodlebook - Uh uh uh!,"0,02 €",2023-03-02
MP21,Dogmatika Maximus,"0,15 €",2023-03-02
AMDE,Double-Edged Sword,"0,02 €",2023-03-02
DIFO,Dogmatikaturgy,"0,02 €",2023-03-02
GFP2,Doomking Balerdroch,"0,02 €",2023-03-02
MAMA,Doom Dozer,"0,02 €",2023-03-02
GFP2,Doppelwarrior,"0,02 €",2023-03-02
TAMA,Droll & Lock Bird (V.1 - Rare),"0,80 €",2023-03-02
MP22,Dramaturge of Despia,"0,05 €",2023-03-02
BLCR,Dragon Nails,"0,02 €",2023-03-02
MP22,Drytron Mu Beta Fafnir,"0,02 €",2023-03-02
BLCR,Dream Shark,"0,02 €",2023-03-02
MAMA,Dragonecro Nethersoul Dragon,"0,02 €",2023-03-02
BLCR,Dream Cicada,"0,02 €",2023-03-02
MP20,Draco Berserker of the Tenyi,"13,50 €",2023-03-02
GEIM,Drytron Alpha Thuban,"0,02 €",2023-03-02
GFP2,Dramaturge of Despia,"0,02 €",2023-03-02
MAMA,"Dracoback, the Rideable Dragon","0,02 €",2023-03-02
MAMA,Dragonmaid Changeover,"0,02 €",2023-03-02
GRCR,"Dracoback, the Rideable Dragon","0,02 €",2023-03-02
BACH,Dragonbite,"0,02 €",2023-03-02
GEIM,Drytron Fafnir,"0,02 €",2023-03-02
MP21,Dragonmaid Sheou,"0,15 €",2023-03-02
GEIM,Drytron Nova,"18,00 €",2023-03-02
MP21,Drytron Gamma Eltanin,"0,02 €",2023-03-02
MP21,Dragonmaid Tidying,"0,02 €",2023-03-02
MP21,Drytron Zeta Aldhibah,"0,02 €",2023-03-02
DP05,D - Shield,"0,02 €",2023-03-02
POTD,D - Spirit,"0,02 €",2023-03-02
DP05,D - Spirit,"0,02 €",2023-03-02
EOJ,D - Shield,"0,02 €",2023-03-02
LCGX,D - Shield,"0,02 €",2023-03-02
SGX1,D - Spirit,"0,02 €",2023-03-02
LCGX,D - Spirit,"0,02 €",2023-03-02
DR04,D - Shield,"0,18 €",2023-03-02
DANE,D-Tactics,"0,02 €",2023-03-02
LEHD,D - Time,"0,02 €",2023-03-02
DP05,D - Time,"0,02 €",2023-03-02
EOJ,D - Time (V.1 - Rare),"0,02 €",2023-03-02
DR1,D. Tribe,"0,02 €",2023-03-02
LCGX,D - Time,"0,02 €",2023-03-02
PGD,D. Tribe,"0,02 €",2023-03-02
SKE,D. Tribe,"0,02 €",2023-03-02
EOJ,D - Time (V.2 - Ultimate Rare),"2,00 €",2023-03-02
DANE-JP,D-Tactics,"0,10 €",2023-03-02
DR04,D - Time,"0,30 €",2023-03-02
TAMA,Duelist Alliance,"0,02 €",2023-03-02
MP22,Duel Tower,"0,02 €",2023-03-02
HAC1,Dust Tornado (V.1 - Common),"0,02 €",2023-03-02
SDFC,Dupe Frog,"0,02 €",2023-03-02
CRMS,Dupe Frog,"0,02 €",2023-03-02
GRCR,"Dunnell, the Noble Arms of Light","0,02 €",2023-03-02
PHRA,Dual Avatar Fists - Yuhi,"0,02 €",2023-03-02
PHRA,Dual Avatar Feet - Kokoku,"0,02 €",2023-03-02
PHRA,Dual Avatar - Empowered Kon-Gyo,"0,09 €",2023-03-02
OP14,Dual Avatar Spirit Token,"0,19 €",2023-03-02
MVP1,Duza the Meteor Cubic Vessel (V.1 - Gold Secret Rare),"0,09 €",2023-03-02
BLRR,Duelist Alliance,"0,05 €",2023-03-02
SDSB,Duelittle Chimera,"0,02 €",2023-03-02
BLVO,Dual Avatar - Empowered Mitsu-Jaku,"0,02 €",2023-03-02
MVP1,Duza the Meteor Cubic Vessel (V.3 - Ultra Rare),"0,02 €",2023-03-02
YS14,Dust Tornado,"0,02 €",2023-03-02
PHRA,Dual Avatar Compact,"0,02 €",2023-03-02
PHRA,Dual Avatar Defeating Evil,"0,02 €",2023-03-02
PHRA,Dual Avatar Feet - Armored Un-Gyo,"0,02 €",2023-03-02
PHRA,Dual Avatar Fists - Armored Ah-Gyo,"0,02 €",2023-03-02
LEHD,Dverg of the Nordic Alfar,"0,02 €",2023-03-02
OP18,Dverg of the Nordic Alfar,"0,02 €",2023-03-02
STOR,Dverg of the Nordic Alfar,"0,02 €",2023-03-02
LC5D,Dverg of the Nordic Alfar,"0,35 €",2023-03-02
TOCH,Dwarf Star Dragon Planeter,"0,02 €",2023-03-02
SR08,Dwimmered Path,"0,02 €",2023-03-02
RIRA,Dwimmered Glimmer,"0,02 €",2023-03-02
FOTB,Dweller in the Depths,"0,02 €",2023-03-02
MP20,Dwimmered Glimmer,"0,02 €",2023-03-02
SBAD,Dweller in the Depths,"0,02 €",2023-03-02
MP17,Dwarf Star Dragon Planeter,"0,02 €",2023-03-02
SHVI,Dwarf Star Dragon Planeter,"0,02 €",2023-03-02
BP03,Dweller in the Depths (V.1 - Common),"0,02 €",2023-03-02
BP03,Dweller in the Depths (V.2 - Shatterfoil),"0,07 €",2023-03-02
CORE-JP,Dwarf Star Dragon Planeter,"0,08 €",2023-03-02
RIRA-JP,Dwimmered Glimmer,"0,20 €",2023-03-02
DR01,Dwimmered Path,,2023-03-02
SR08-JP,Dwimmered Path,"1,95 €",2023-03-02
PHHY,Dyna Mondo,"0,02 €",2023-03-02
BLCR,Dyna Tank,"0,02 €",2023-03-02
BLCR,Dyna Base,"0,02 €",2023-03-02
DASA,"Dyna, Hero Fur Hire","0,07 €",2023-03-02
INOV,Dystopia the Despondent,"0,19 €",2023-03-02
PGLD,Dynatherium,"0,09 €",2023-03-02
MP19,"Dyna, Hero Fur Hire","0,02 €",2023-03-02
PHHY-JP,Dyna Mondo,"0,10 €",2023-03-02
AC02,Dyna Tank (V.2 - Collectors Rare),"3,40 €",2023-03-02
JUMP,Dystopia the Despondent,"25,00 €",2023-03-02
AC02,Dyna Base (V.1 - Common),"0,09 €",2023-03-02
AC02,Dyna Base (V.2 - Parallel Rare),"0,95 €",2023-03-02
DBDS,"Dyna, Hero Fur Hire (V.1 - Common)","0,10 €",2023-03-02
DBDS,"Dyna, Hero Fur Hire (V.2 - Parallel Rare)","1,30 €",2023-03-02
AC02,Dyna Tank (V.1 - Ultra Rare),"0,35 €",2023-03-02
DBMF,Dynatherium (V.2 - Parallel Rare),,2023-03-02
DBMF,Dynatherium (V.1 - Common),,2023-03-02
PP16,Dynatherium (V.1 - Common),,2023-03-02
PP16,Dynatherium (V.2 - Secret Rare),,2023-03-02
JOTL,DZW - Chimera Clad,"0,02 €",2023-03-02
POTE,"Eanoc, Sentry of the Ghoti","0,02 €",2023-03-02
MP22,Earth Chant,"0,02 €",2023-03-02
MAGO,Eater of Millions,"0,02 €",2023-03-02
RATE,Eater of Millions,"0,02 €",2023-03-02
BLRR,Eater of Millions,"0,20 €",2023-03-02
LDS3,Earthbound Geoglyph,"0,02 €",2023-03-02
LDS3,Earthbound Immortal Chacu Challhua,"0,02 €",2023-03-02
LDS3,Earthbound Immortal Cusillu,"0,02 €",2023-03-02
LDS3,Earthbound Immortal Uru,"0,02 €",2023-03-02
LDS3,Earthbound Greater Linewalker,"0,02 €",2023-03-02
LDS3,Earthbound Linewalker,"0,02 €",2023-03-02
LDS3,Earthbound Immortal Ccapac Apu,"0,02 €",2023-03-02
LDS3,Earthbound Immortal Ccarayhua,"0,02 €",2023-03-02
LDS3,Earthbound Immortal Wiraqocha Rasca,"0,02 €",2023-03-02
LDS3,Earthbound Whirlwind,"0,02 €",2023-03-02
IGAS,Earth Golem @Ignister,"0,02 €",2023-03-02
LDS3,Earthbound Immortal Aslla piscu (V.3 - Ultra Rare),"0,05 €",2023-03-02
LDS3,Earthbound Immortal Aslla piscu (V.2 - Ultra Rare),"0,05 €",2023-03-02
LDS3,Earthbound Immortal Revival,"0,02 €",2023-03-02
LDS3,Earthbound Immortal Aslla piscu (V.1 - Ultra Rare),"0,11 €",2023-03-02
LDS3,Ebon Illusion Magician (V.2 - Ultra Rare),"0,25 €",2023-03-02
LDS3,Ebon High Magician,"0,02 €",2023-03-02
LDS3,Ebon Illusion Magician (V.1 - Ultra Rare),"0,47 €",2023-03-02
LDS3,Ebon Illusion Magician (V.3 - Ultra Rare),"0,20 €",2023-03-02
TDIL,Ebon High Magician,"0,15 €",2023-03-02
CT13,Ebon High Magician,"0,10 €",2023-03-02
SD6,Ebon Magician Curran,"0,02 €",2023-03-02
SHVI,Ebon Illusion Magician,"0,85 €",2023-03-02
CRMS,Ebon Arrow,"0,02 €",2023-03-02
CRV,Ebon Magician Curran,"0,02 €",2023-03-02
DP11,Ebon Arrow,"0,02 €",2023-03-02
CPF1,Ebon Illusion Magician (V.2 - Collectors Rare),"19,99 €",2023-03-02
DR04,Ebon Magician Curran,"1,00 €",2023-03-02
TDIL-JP,Ebon High Magician (V.3 - Ultimate Rare),"11,99 €",2023-03-02
TDIL-JP,Ebon High Magician (V.2 - Secret Rare),,2023-03-02
TDIL-JP,Ebon High Magician (V.1 - Ultra Rare),"2,80 €",2023-03-02
JUMP,Ebon Illusion Magician,"22,99 €",2023-03-02
CPF1,Ebon Illusion Magician (V.1 - Super Rare),,2023-03-02
BROL,Ecole de Zone,"0,02 €",2023-03-02
SDAZ,Ecclesia the Exiled,"0,02 €",2023-03-02
SDDC,Eclipse Wyvern,"0,02 €",2023-03-02
DP09,Eccentric Boy,"0,02 €",2023-03-02
YGLD,Ectoplasmer,"0,02 €",2023-03-02
PGLD,Eclipse Wyvern,"0,05 €",2023-03-02
SR02,Eclipse Wyvern,"0,02 €",2023-03-02
SD7,Ectoplasmer,"0,02 €",2023-03-02
SECE,Echo Oscillation,"0,02 €",2023-03-02
SOD,Ectoplasmer (V.1 - Super Rare),"0,05 €",2023-03-02
REDU,"Eco, Mystical Spirit of the Forest","0,02 €",2023-03-02
LEDD,Echo Oscillation,"0,02 €",2023-03-02
DR3,Ectoplasmer,"0,10 €",2023-03-02
SBLS,Ectoplasmic Fortification! (Skill),"0,14 €",2023-03-02
MP15,Echo Oscillation,"0,02 €",2023-03-02
PEVO,Echo Oscillation,"0,02 €",2023-03-02
LCYW,Ectoplasmer,"0,06 €",2023-03-02
SD43,Ecclesia the Exiled (V.2 - Token),"15,90 €",2023-03-02
OP17,"Eco, Mystical Spirit of the Forest","0,49 €",2023-03-02
SOD,Ectoplasmer (V.2 - Ultimate Rare),"1,00 €",2023-03-02
BLCR,Edge Imp Chain,"0,03 €",2023-03-02
BROL,Edea the Heavenly Squire,"0,02 €",2023-03-02
ROTD,Edge Imp Scythe,"0,02 €",2023-03-02
FUEN,Edge Imp Chain,"0,49 €",2023-03-02
CROS,Edge Imp Chain,"0,02 €",2023-03-02
FUEN,Edge Imp Sabres,"0,02 €",2023-03-02
MP22,Eda the Sun Magician,"0,02 €",2023-03-02
LART,Edge Imp Sabres,"0,30 €",2023-03-02
LIOV,Eda the Sun Magician,"0,02 €",2023-03-02
SR01,Edea the Heavenly Squire,"0,02 €",2023-03-02
SOFU,Edge Imp Cotton Eater,"0,02 €",2023-03-02
MP16,Edge Imp Chain,"0,06 €",2023-03-02
CROS,Edge Imp Frightfuloid,"0,02 €",2023-03-02
SAST,Edge of the Ring,"0,02 €",2023-03-02
CROS,Edge Imp Saw,"0,02 €",2023-03-02
NECH,Edge Imp Sabres (V.1 - Super Rare),"0,10 €",2023-03-02
DP03,Edge Hammer,"0,02 €",2023-03-02
MP19,Edge Imp Cotton Eater,"0,02 €",2023-03-02
CROS,Edge Imp Tomahawk,"0,02 €",2023-03-02
MP16,Edge Imp Saw,"0,02 €",2023-03-02
LDS3,E - Emergency Call,"0,02 €",2023-03-02
RYMP,E - Emergency Call,"3,00 €",2023-03-02
SDHS,E - Emergency Call,"0,02 €",2023-03-02
EOJ,E - Emergency Call,"0,02 €",2023-03-02
DP03,E - Emergency Call,"0,02 €",2023-03-02
LCGX,E - Emergency Call,"0,15 €",2023-03-02
PAC1,E - Emergency Call (V.1 - Parallel Rare),"0,02 €",2023-03-02
PAC1,E - Emergency Call (V.2 - Secret Rare),"0,90 €",2023-03-02
DR04,E - Emergency Call,"1,34 €",2023-03-02
PAC1,E - Emergency Call (V.3 - Starlight Rare),"27,00 €",2023-03-02
19SP-JP5,E - Emergency Call (V.2 - Super Rare),,2023-03-02
19SP-JP5,E - Emergency Call (V.1 - Common),,2023-03-02
SD27,E - Emergency Call,,2023-03-02
SDAZ,Effect Veiler,"0,55 €",2023-03-02
DUDE,Effect Veiler,"1,50 €",2023-03-02
SDCH,Effect Veiler,"0,49 €",2023-03-02
SDPL,Effect Veiler,"0,02 €",2023-03-02
YS17,Effect Veiler,"0,20 €",2023-03-02
LEHD,Effect Veiler,"0,30 €",2023-03-02
ORCS,Effect Veiler,"0,50 €",2023-03-02
SDSE,Effect Veiler,"0,40 €",2023-03-02
DUSA,Effect Veiler,"3,97 €",2023-03-02
DP10,Effect Veiler,"0,08 €",2023-03-02
PGLD,Effect Veiler,"1,50 €",2023-03-02
NKRT,Effect Veiler,"4,50 €",2023-03-02
DREV,Effect Veiler (V.2 - Ultimate Rare),"49,98 €",2023-03-02
LC5D,Effect Veiler,"0,90 €",2023-03-02
DREV,Effect Veiler (V.1 - Ultra Rare),"4,00 €",2023-03-02
20AP-2,Effect Veiler,"0,99 €",2023-03-02
RC04,Effect Veiler (V.3 - Collectors Rare),,2023-03-02
ETCO,Effect Veiler,"450,00 €",2023-03-02
SD43,Effect Veiler,,2023-03-02
SD39,Effect Veiler,"2,50 €",2023-03-02
LED7,Egyptian God Slime,"35,00 €",2023-03-02
YS18,Ego Boost,"0,02 €",2023-03-02
DREV,Egotistical Ape,"0,02 €",2023-03-02
RC04,Egyptian God Slime (V.1 - Super Rare),"2,00 €",2023-03-02
YS12,Ego Boost,"0,02 €",2023-03-02
YS14,Ego Boost,"0,02 €",2023-03-02
YS13,Ego Boost,"0,02 €",2023-03-02
DP24,Egyptian God Slime (V.1 - Ultra Rare),"22,50 €",2023-03-02
DP24,Egyptian God Slime (V.2 - Secret Rare),"93,66 €",2023-03-02
BP01,Ego Boost (V.2 - Starfoil Rare),"0,07 €",2023-03-02
SP13,Ego Boost (V.2 - Starfoil Rare),"0,02 €",2023-03-02
BP02,Ego Boost (V.1 - Common),"0,02 €",2023-03-02
RC04,Egyptian God Slime (V.2 - Secret Rare),,2023-03-02
PHSW,Ego Boost,"0,02 €",2023-03-02
BP01,Ego Boost (V.1 - Common),"0,02 €",2023-03-02
SP13,Ego Boost (V.1 - Common),"0,02 €",2023-03-02
BP02,Ego Boost (V.2 - Mosaic Rare),"0,10 €",2023-03-02
ST14,Ego Boost,,2023-03-02
RC04,Egyptian God Slime (V.3 - Collectors Rare),,2023-03-02
RC04,Egyptian God Slime (V.4 - Ultimate Rare),"24,99 €",2023-03-02
SR01,Ehther the Heavenly Monarch,"0,10 €",2023-03-02
CT08,"Ehren, Lightsworn Monk","0,02 €",2023-03-02
SDLI,"Ehren, Lightsworn Monk","0,02 €",2023-03-02
SR02,"Ehren, Lightsworn Monk","0,02 €",2023-03-02
LODT,"Ehren, Lightsworn Monk","2,99 €",2023-03-02
EP14,E☆HERO Pit Boss,,2023-03-02
DT07,"Ehren, Lightsworn Monk","0,65 €",2023-03-02
WCS,E☆HERO Pit Boss,"10.000,00 €",2023-03-02
SR02-JP,"Ehren, Lightsworn Monk","0,10 €",2023-03-02
DS14,"Ehren, Lightsworn Monk",,2023-03-02
SR01-JP,Ehther the Heavenly Monarch,,2023-03-02
BROL,Eidos the Underworld Squire,"0,02 €",2023-03-02
SR01,Eidos the Underworld Squire,"0,04 €",2023-03-02
SDFC,Eisbahn,"0,02 €",2023-03-02
PHSW,Eisbahn,"0,02 €",2023-03-02
OP11,Eisbahn,"0,02 €",2023-03-02
SR01-JP,Eidos the Underworld Squire,,2023-03-02
POTE,Eka the Flame Buddy,"0,02 €",2023-03-02
LON,Ekibyo Drakmord (V.1 - Common),"0,02 €",2023-03-02
SDWS,Ekibyo Drakmord,"0,02 €",2023-03-02
DB2,Ekibyo Drakmord,"0,02 €",2023-03-02
LDI,Ekibyo Drakmord,"0,02 €",2023-03-02
LON,Ekibyo Drakmord (V.2 - Common),"0,05 €",2023-03-02
LON,Ekibyo Drakmord (V.3 - Common),"0,35 €",2023-03-02
POTE-JP,Eka the Flame Buddy,"0,08 €",2023-03-02
LDC,Ekibyo Drakmord,"0,05 €",2023-03-02
MAMA,Elder Entity N'tss,"0,69 €",2023-03-02
POTE,Elemental HERO Spirit of Neos,"0,08 €",2023-03-02
MGED,Eldlich the Golden Lord,"2,95 €",2023-03-02
POTE,Elemental HERO Shining Neos Wingman,"0,40 €",2023-03-02
LED9,Electric Jellyfish,"0,02 €",2023-03-02
MGED,Eldlixir of Scarlet Sanguine,"0,04 €",2023-03-02
SDSH,El Shaddoll Winda,"0,49 €",2023-03-02
GFP2,Elemental HERO Neos Kluger,"0,02 €",2023-03-02
FUEN,Elemental HERO Prisma,"0,30 €",2023-03-02
BLHR,Elemental HERO Stratos,"2,99 €",2023-03-02
CT14,Elder Entity N'tss,"0,30 €",2023-03-02
LDS3,Elemental HERO Liquid Soldier,"6,90 €",2023-03-02
TOCH,Elemental HERO Solid Soldier,"0,02 €",2023-03-02
MGED,Eldlixir of Black Awakening,"0,05 €",2023-03-02
LDS3,Elemental HERO Sunrise,"3,00 €",2023-03-02
SDHS,Elemental HERO Shadow Mist,"0,50 €",2023-03-02
MP21,El Shaddoll Apkallone,"0,19 €",2023-03-02
DUPO,Elemental HERO Neos,"0,02 €",2023-03-02
BLAR,Elemental HERO Neos Alius,"0,02 €",2023-03-02
DP03,Elemental HERO Aqua Neos,"0,05 €",2023-03-02
GRCR,Emergency Teleport (V.1 - Rare),"0,02 €",2023-03-02
BLCR,Emblem of the Plunder Patroll,"0,02 €",2023-03-02
GFTP,Emergency Teleport,"0,40 €",2023-03-02
POTE,Emperor Tanuki's Critter Count,"0,02 €",2023-03-02
MP22,E.M.R.,"0,02 €",2023-03-02
SBCB,Embodiment of Apophis,"0,02 €",2023-03-02
PGL3,Emergency Teleport,"0,49 €",2023-03-02
SDPD,Emergency Provisions,"0,02 €",2023-03-02
GRCR,Emergency Teleport (V.2 - Collectors Rare),"23,00 €",2023-03-02
LC03,Emissary of Darkness Token,"0,25 €",2023-03-02
BLRR,Empty Machine,"0,98 €",2023-03-02
BLVO,E.M.R.,"0,02 €",2023-03-02
5DS2,Emergency Provisions,"0,02 €",2023-03-02
CP01,Emissary of the Afterlife,"0,50 €",2023-03-02
SGX2,Emergeroid Call,"0,02 €",2023-03-02
TDGS,Emergency Teleport (V.1 - Ultra Rare),"1,50 €",2023-03-02
TDGS,Emergency Teleport (V.2 - Ultimate Rare),"9,00 €",2023-03-02
MACR,Emerging Emergency Rescute Rescue,"0,02 €",2023-03-02
MP20,Emperor Maju Garzett,"0,02 €",2023-03-02
SP1,Embodiment of Apophis,"0,60 €",2023-03-02
BLCR,EN Shuffle,"1,99 €",2023-03-02
EGS1,Enemy Controller,"0,02 €",2023-03-02
LCKC,Enemy Controller,"3,87 €",2023-03-02
POTE,EN - Engage Neo Space,"0,02 €",2023-03-02
HAC1,Enemy Controller (V.1 - Common),"0,02 €",2023-03-02
SR08,"Endymion, the Mighty Master of Magic","0,07 €",2023-03-02
DIFO,Endless Engine Argyro System,"0,02 €",2023-03-02
POTE,EN Wave,"0,02 €",2023-03-02
LDK2,Enemy Controller,"0,02 €",2023-03-02
GEIM,"Endymion, the Magistus of Mastery","0,02 €",2023-03-02
PGL2,Enemy Controller,"0,25 €",2023-03-02
LART,Enchanting Fitting Room,"0,02 €",2023-03-02
SDBE,Enemy Controller,"0,02 €",2023-03-02
SR01,Enemy Controller,"0,02 €",2023-03-02
TOCH,Envoy of Chaos,"0,02 €",2023-03-02
SDKS,Enemy Controller,"0,02 €",2023-03-02
DPBC,Enemy Controller,"0,02 €",2023-03-02
GEIM,Engraver of the Mark,"0,02 €",2023-03-02
AST,Enemy Controller,"0,28 €",2023-03-02
HAC1,Enemy Controller (V.2 - Parallel Rare),"0,48 €",2023-03-02
AMDE,Epurrely Plump,"0,03 €",2023-03-02
AMDE,Epurrely Beauty,"0,05 €",2023-03-02
AMDE,Epurrely Happiness,"0,02 €",2023-03-02
OP21,Epurrely Happiness,"0,15 €",2023-03-02
BACH,Epsilon The Magnet Warrior,"0,02 €",2023-03-02
BACH,"Epigonen, the Impersonation Invader","0,02 €",2023-03-02
BACH-JP,"Epigonen, the Impersonation Invader","0,09 €",2023-03-02
BACH-JP,Epsilon The Magnet Warrior,"0,09 €",2023-03-02
DBAD,Epurrely Beauty,"1,00 €",2023-03-02
DBAD,Epurrely Happiness (V.1 - Common),"0,10 €",2023-03-02
DBAD,Epurrely Happiness (V.2 - Parallel Rare),"0,50 €",2023-03-02
DBAD,Epurrely Plump,"1,00 €",2023-03-02
DP08,Equip Shot,"0,02 €",2023-03-02
TDGS,Equip Shot,"0,02 €",2023-03-02
MP21,"Eria the Water Charmer, Gentle","0,02 €",2023-03-02
LCKC,Eradicator Epidemic Virus,"1,80 €",2023-03-02
SR06,Eradicator Epidemic Virus,"0,05 €",2023-03-02
MGED,"Eria the Water Charmer, Gentle","0,02 €",2023-03-02
SDMP,Eradicator Epidemic Virus,"0,09 €",2023-03-02
SDGU,Eradicator Epidemic Virus,"0,02 €",2023-03-02
SESL,Erica the Rikka Fairy,"0,02 €",2023-03-02
TDGS,Eradicator Epidemic Virus,"0,10 €",2023-03-02
SR01,Erebus the Underworld Monarch,"0,50 €",2023-03-02
ETCO,"Eria the Water Charmer, Gentle (V.1 - Super Rare)","0,02 €",2023-03-02
SDCH,Eria the Water Charmer,"0,02 €",2023-03-02
FOTB,Eradicator Epidemic Virus,"8,00 €",2023-03-02
SS03,Eradicating Aerosol,"0,02 €",2023-03-02
GLD4,Eradicating Aerosol,"0,02 €",2023-03-02
TLM,Eria the Water Charmer,"0,02 €",2023-03-02
DT06,Eria the Water Charmer,"7,60 €",2023-03-02
ETCO-JP,"Eria the Water Charmer, Gentle (V.1 - Super Rare)","6,00 €",2023-03-02
ETCO-JP,"Eria the Water Charmer, Gentle (V.2 - Secret Rare)",,2023-03-02
SR06-JP,Eradicator Epidemic Virus,,2023-03-02
SD29,Eradicator Epidemic Virus,,2023-03-02
MP20,Escape of the Unchained,"0,02 €",2023-03-02
CHIM,Escape of the Unchained,"0,02 €",2023-03-02
SR01,Escalation of the Monarchs,"0,02 €",2023-03-02
EXVC,Esper Girl,"0,02 €",2023-03-02
DESO,Escape from the Dark Dimension,"0,02 €",2023-03-02
SR01,Escher the Frost Vassal,"0,02 €",2023-03-02
PTDN,Escape from the Dark Dimension,"0,02 €",2023-03-02
PRIO,Escalation of the Monarchs,"0,02 €",2023-03-02
SDPD,Escape from the Dark Dimension,"0,02 €",2023-03-02
SDSA,Escape from the Dark Dimension,"0,02 €",2023-03-02
CORE,Escher the Frost Vassal,"0,02 €",2023-03-02
EXVC,ESP Amplifier,"0,02 €",2023-03-02
SDGU,Escape from the Dark Dimension,"0,02 €",2023-03-02
SDDC,Escape from the Dark Dimension,"0,02 €",2023-03-02
MP15,Escalation of the Monarchs,"0,25 €",2023-03-02
TU05,Escape from the Dark Dimension,"0,02 €",2023-03-02
SR01-JP,Escalation of the Monarchs,,2023-03-02
EP14,Escalation of the Monarchs,"0,20 €",2023-03-02
SD38,Escape from the Dark Dimension,"4,33 €",2023-03-02
SPDS,Escape from the Dark Dimension (V.2 - Parallel Rare),,2023-03-02
DUPO,Eternal Soul,"0,02 €",2023-03-02
LDK2,Eternal Soul,"0,05 €",2023-03-02
TOCH,Eternal Chaos,"0,02 €",2023-03-02
LEDD,Eternal Soul,"0,05 €",2023-03-02
CYHO,Eternal Galaxy,"0,02 €",2023-03-02
KICO,Eternal Bond,"0,02 €",2023-03-02
SOFU,Eternal Galaxy,"0,02 €",2023-03-02
LEHD,Eternal Dread,"0,02 €",2023-03-02
SGX1,Etoile Cyber,"0,02 €",2023-03-02
MP19,Eternal Galaxy,"0,02 €",2023-03-02
EEN,Etoile Cyber,"0,02 €",2023-03-02
DP05,Eternal Dread,"0,02 €",2023-03-02
SDJ,Eternal Rest,"0,02 €",2023-03-02
DPDG,Etoile Cyber,"0,02 €",2023-03-02
